# index, sign
7694,-1
9314,-1
10898,-1
19784,-1
20443,-1
28756,-1
30226,-1
36879,-1
42257,-1
46203,-1
62818,-1
88748,-1
93214,-1
102296,-1
111016,-1
121159,-1
129624,-1
131737,-1
136545,-1
138435,-1
143225,-1
151034,-1
153028,-1
159185,-1
160626,-1
165048,-1
176677,-1
185766,-1
192182,-1
197102,-1
214022,-1
217682,-1
224720,-1
227901,-1
234013,-1
236528,-1
258648,-1
268736,-1
271272,-1
276604,-1
283695,-1
284030,-1
298409,-1
299667,-1
308984,-1
315378,-1
322485,-1
331849,-1
347790,-1
356301,-1
366015,-1
379387,-1
388729,-1
390273,-1
396966,-1
400162,-1
404577,-1
412006,-1
414675,-1
415909,-1
421007,-1
426534,-1
435294,-1
437598,-1
438570,-1
446646,-1
448872,-1
455824,-1
462492,-1
464002,-1
465155,-1
472818,-1
474333,-1
477824,-1
483436,-1
490993,-1
493744,-1
495038,-1
502527,-1
511670,-1
513827,-1
524287,-1
530626,-1
536503,-1
562926,-1
569128,-1
573504,-1
579568,-1
585986,-1
587458,-1
599215,-1
601783,-1
607172,-1
608076,-1
613358,-1
621119,-1
627591,-1
638719,-1
648966,-1
652547,-1
655289,-1
670962,-1
687696,-1
688152,-1
699766,-1
709765,-1
721147,-1
722092,-1
736318,-1
749220,-1
764972,-1
770184,-1
783077,-1
785202,-1
787784,-1
791003,-1
798072,-1
812011,-1
839094,-1
850798,-1
860271,-1
869515,-1
876557,-1
887863,-1
893493,-1
897836,-1
900415,-1
906702,-1
910237,-1
910977,-1
912312,-1
926159,-1
939058,-1
953172,-1
964494,-1
967485,-1
968813,-1
977554,-1
979042,-1
981845,-1
990944,-1
1006599,-1
1017020,-1
1018290,-1
1028046,-1
1030576,-1
1033516,-1
1035674,-1
1046892,-1
1056192,-1
1065991,-1
1076761,-1
1088548,-1
1093651,-1
1101205,-1
1102494,-1
1108155,-1
1122992,-1
1130422,-1
1137431,-1
1140768,-1
1144370,-1
1146725,-1
1147260,-1
1150697,-1
1153699,-1
1156714,-1
1159893,-1
1163932,-1
1165141,-1
1168887,-1
1178596,-1
1183882,-1
1191967,-1
1216569,-1
1235184,-1
1248061,-1
1256639,-1
1259350,-1
1265890,-1
1267433,-1
1269413,-1
1282364,-1
1290624,-1
1292533,-1
1304077,-1
1305229,-1
1313441,-1
1325878,-1
1329140,-1
1331088,-1
1350077,-1
1354430,-1
1360200,-1
1365563,-1
1370406,-1
1373490,-1
1385977,-1
1389672,-1
1395821,-1
1397592,-1
1403042,-1
1406665,-1
1417901,-1
1425901,-1
1428763,-1
1429052,-1
1441091,-1
1459410,-1
1478784,-1
1490870,-1
1494872,-1
1503682,-1
1509114,-1
1513525,-1
1520892,-1
1521625,-1
1526862,-1
1531080,-1
1533586,-1
1539370,-1
1543098,-1
1549097,-1
1550765,-1
1553827,-1
1562234,-1
1565336,-1
1576181,-1
1577510,-1
1586335,-1
1588379,-1
1608602,-1
1609946,-1
1618041,-1
1628325,-1
1628704,-1
1632320,-1
1636034,-1
1637678,-1
1638444,-1
1642629,-1
1646913,-1
1654980,-1
1663625,-1
1669587,-1
1671716,-1
1673359,-1
1674970,-1
1682509,-1
1693534,-1
1700543,-1
1712155,-1
1715205,-1
1737961,-1
1746655,-1
1748719,-1
1751811,-1
1754289,-1
1756146,-1
1757566,-1
1761112,-1
1770766,-1
1771495,-1
1787158,-1
1793380,-1
1794231,-1
1797955,-1
1806805,-1
1810405,-1
1826841,-1
1840198,-1
1846128,-1
1850996,-1
1855327,-1
1860797,-1
1874148,-1
1885800,-1
1886031,-1
1895058,-1
1896069,-1
1905953,-1
1911688,-1
1920063,-1
1923351,-1
1934687,-1
1942932,-1
1976463,-1
1979306,-1
1999770,-1
2006151,-1
2009534,-1
2009684,-1
2017075,-1
2017583,-1
2020766,-1
2029358,-1
2029542,-1
2033011,-1
2033157,-1
2048762,-1
2059373,-1
2069957,-1
2079629,-1
2101088,-1
2113418,-1
2123230,-1
2133843,-1
2151026,-1
2157329,-1
2162260,-1
2166279,-1
2169610,-1
2181555,-1
2182739,-1
2235777,-1
2246735,-1
2247064,-1
2258055,-1
2269927,-1
2281436,-1
2293148,-1
2296779,-1
2309918,-1
2319111,-1
2320093,-1
2351572,-1
2361212,-1
2371125,-1
2371422,-1
2378511,-1
2381224,-1
2382071,-1
2396838,-1
