# index, sign
742,-1
9316,-1
13427,-1
18783,-1
24614,-1
28755,-1
30603,-1
41515,-1
52119,-1
53049,-1
53737,-1
58341,-1
62818,-1
72017,-1
81114,-1
88746,-1
91353,-1
92903,-1
101707,-1
102295,-1
104131,-1
104323,-1
112040,-1
115682,-1
121159,-1
124064,-1
125922,-1
129623,-1
132295,-1
133155,-1
133640,-1
136439,-1
143825,-1
151033,-1
153868,-1
164954,-1
169669,-1
174151,-1
176278,-1
177357,-1
181653,-1
185765,-1
205476,-1
215800,-1
226099,-1
228173,-1
234014,-1
236354,-1
238370,-1
246571,-1
248601,-1
255981,-1
256212,-1
256979,-1
259454,-1
266598,-1
271356,-1
274286,-1
288228,-1
288462,-1
290555,-1
294379,-1
298410,-1
304850,-1
339171,-1
348154,-1
349437,-1
358504,-1
359933,-1
366015,-1
369957,-1
382783,-1
388729,-1
390273,-1
396965,-1
400363,-1
404577,-1
412006,-1
412167,-1
415910,-1
420707,-1
428300,-1
431849,-1
451772,-1
460921,-1
462373,-1
472832,-1
477824,-1
481612,-1
483118,-1
492011,-1
493484,-1
502398,-1
503598,-1
506767,-1
512991,-1
515482,-1
519392,-1
520749,-1
520879,-1
524165,-1
524322,-1
524488,-1
525005,-1
529967,-1
530075,-1
530531,-1
535194,-1
537807,-1
544480,-1
548596,-1
550413,-1
552507,-1
556286,-1
566235,-1
569129,-1
576627,-1
587047,-1
597461,-1
598835,-1
601783,-1
607822,-1
609257,-1
616912,-1
618205,-1
627247,-1
628186,-1
631165,-1
632043,-1
637674,-1
670909,-1
674485,-1
677019,-1
680636,-1
691088,-1
699767,-1
700946,-1
709765,-1
710160,-1
711683,-1
721834,-1
730760,-1
732121,-1
736317,-1
742421,-1
749220,-1
751406,-1
752490,-1
755321,-1
761682,-1
764973,-1
780746,-1
785687,-1
790145,-1
792116,-1
794447,-1
796597,-1
800919,-1
804398,-1
812010,-1
824547,-1
834750,-1
839091,-1
845141,-1
850797,-1
855764,-1
864491,-1
874852,-1
876087,-1
879520,-1
885216,-1
886326,-1
887710,-1
889119,-1
890387,-1
894633,-1
897368,-1
897535,-1
900415,-1
907595,-1
909109,-1
910977,-1
911977,-1
917942,-1
927839,-1
934258,-1
944560,-1
947822,-1
954871,-1
958212,-1
965135,-1
967144,-1
968724,-1
975340,-1
977420,-1
978814,-1
981844,-1
985672,-1
989366,-1
990943,-1
996002,-1
998053,-1
1006599,-1
1008270,-1
1010952,-1
1012195,-1
1017021,-1
1026646,-1
1028044,-1
1029162,-1
1032711,-1
1038938,-1
1040943,-1
1050802,-1
1057279,-1
1061105,-1
1067609,-1
1070964,-1
1076761,-1
1078053,-1
1081527,-1
1088569,-1
1092219,-1
1094482,-1
1098941,-1
1101200,-1
1104922,-1
1109307,-1
1119653,-1
1122993,-1
1123198,-1
1124194,-1
1124427,-1
1125562,-1
1132036,-1
1134749,-1
1135969,-1
1137431,-1
1159838,-1
1160682,-1
1162939,-1
1164067,-1
1165451,-1
1166942,-1
1181283,-1
1185172,-1
1191558,-1
1194969,-1
1204046,-1
1205378,-1
1215659,-1
1216570,-1
1217144,-1
1224738,-1
1226268,-1
1232862,-1
1235081,-1
1243226,-1
1245436,-1
1248513,-1
1249132,-1
1255041,-1
1255635,-1
1256362,-1
1258037,-1
1263408,-1
1267433,-1
1274514,-1
1278356,-1
1283678,-1
1285654,-1
1288046,-1
1290623,-1
1291960,-1
1298345,-1
1298447,-1
1298565,-1
1304831,-1
1318642,-1
1327624,-1
1328690,-1
1338109,-1
1339330,-1
1341278,-1
1349508,-1
1349615,-1
1351561,-1
1359868,-1
1361751,-1
1369402,-1
1370190,-1
1379399,-1
1380171,-1
1385976,-1
1409816,-1
1411602,-1
1413854,-1
1428312,-1
1428759,-1
1438579,-1
1441092,-1
1442040,-1
1444098,-1
1448922,-1
1452088,-1
1452377,-1
1454276,-1
1459249,-1
1462469,-1
1469522,-1
1472763,-1
1478785,-1
1479923,-1
1490868,-1
1502404,-1
1505197,-1
1509114,-1
1510910,-1
1515081,-1
1520496,-1
1521624,-1
1533586,-1
1534709,-1
1543098,-1
1546002,-1
1551635,-1
1561841,-1
1565336,-1
1572273,-1
1575539,-1
1576184,-1
1582658,-1
1586106,-1
1586315,-1
1588381,-1
1593030,-1
1596565,-1
1603503,-1
1605578,-1
1607241,-1
1613917,-1
1617040,-1
1618041,-1
1626023,-1
1626493,-1
1630248,-1
1642629,-1
1658867,-1
1670417,-1
1672511,-1
1675929,-1
1686207,-1
1689732,-1
1693535,-1
1696645,-1
1707059,-1
1710288,-1
1717421,-1
1720502,-1
1722684,-1
1727772,-1
1730841,-1
1732962,-1
1737960,-1
1738140,-1
1741189,-1
1743209,-1
1751491,-1
1754381,-1
1757565,-1
1759516,-1
1760677,-1
1763290,-1
1767222,-1
1778674,-1
1779167,-1
1781849,-1
1782907,-1
1788410,-1
1792669,-1
1793943,-1
1794219,-1
1795339,-1
1798008,-1
1799720,-1
1806805,-1
1809847,-1
1813497,-1
1820483,-1
1822560,-1
1823836,-1
1824028,-1
1826841,-1
1830916,-1
1834220,-1
1834407,-1
1841366,-1
1844604,-1
1847363,-1
1850995,-1
1851820,-1
1854369,-1
1857861,-1
1860798,-1
1864798,-1
1868191,-1
1874661,-1
1875446,-1
1875714,-1
1878589,-1
1897282,-1
1900265,-1
1905955,-1
1906279,-1
1906577,-1
1907422,-1
1907936,-1
1911720,-1
1917654,-1
1919722,-1
1924248,-1
1933974,-1
1937825,-1
1947956,-1
1948131,-1
1955068,-1
1957051,-1
1958464,-1
1965419,-1
1967497,-1
1969060,-1
1975715,-1
1977815,-1
1986030,-1
1988189,-1
1991864,-1
1998379,-1
1999346,-1
1999766,-1
2002922,-1
2013764,-1
2014481,-1
2017493,-1
2019984,-1
2030164,-1
2030474,-1
2035174,-1
2036145,-1
2040415,-1
2048016,-1
2058075,-1
2059372,-1
2068629,-1
2071855,-1
2079056,-1
2082201,-1
2089435,-1
2091343,-1
2092733,-1
2099851,-1
2101087,-1
2101757,-1
2103088,-1
2110212,-1
2113517,-1
2120676,-1
2122422,-1
2123230,-1
2123340,-1
2126410,-1
2144254,-1
2144469,-1
2151027,-1
2156686,-1
2164723,-1
2172275,-1
2181556,-1
2182361,-1
2185553,-1
2192790,-1
2196189,-1
2203165,-1
2205231,-1
2207712,-1
2213553,-1
2215740,-1
2219373,-1
2224095,-1
2226392,-1
2229784,-1
2235777,-1
2236835,-1
2240104,-1
2247671,-1
2251062,-1
2262036,-1
2263168,-1
2274162,-1
2277258,-1
2277859,-1
2279054,-1
2280923,-1
2283074,-1
2285489,-1
2296036,-1
2296778,-1
2299535,-1
2305960,-1
2316381,-1
2319592,-1
2326692,-1
2329988,-1
2336933,-1
2338985,-1
2340341,-1
2347209,-1
2357539,-1
2361076,-1
2361212,-1
2367861,-1
2370977,-1
2373824,-1
2380147,-1
2853,-1
9080,-1
12200,-1
19118,-1
19531,-1
20446,-1
21976,-1
36043,-1
44027,-1
69328,-1
78869,-1
83098,-1
84504,-1
104931,-1
122321,-1
122831,-1
125352,-1
139645,-1
145258,-1
155065,-1
155360,-1
159185,-1
159447,-1
176679,-1
197102,-1
202197,-1
214025,-1
217282,-1
217930,-1
224724,-1
228755,-1
248045,-1
268469,-1
268735,-1
278781,-1
279563,-1
284464,-1
287698,-1
288670,-1
289049,-1
299667,-1
300492,-1
301286,-1
308985,-1
315781,-1
322482,-1
325311,-1
328723,-1
331850,-1
337808,-1
339309,-1
350733,-1
356292,-1
361034,-1
361554,-1
371838,-1
379385,-1
379846,-1
391871,-1
393175,-1
403239,-1
408343,-1
410576,-1
410905,-1
413268,-1
415581,-1
417110,-1
417341,-1
426530,-1
437597,-1
441817,-1
446644,-1
451418,-1
452228,-1
453771,-1
455878,-1
461677,-1
462538,-1
471218,-1
471904,-1
473960,-1
490992,-1
492324,-1
495325,-1
502805,-1
511723,-1
513758,-1
521472,-1
525493,-1
525757,-1
527887,-1
541623,-1
544291,-1
555541,-1
558311,-1
575730,-1
579568,-1
586261,-1
588545,-1
596031,-1
606517,-1
613359,-1
619629,-1
621174,-1
636446,-1
641060,-1
652547,-1
652817,-1
656388,-1
658393,-1
659184,-1
661915,-1
665334,-1
666057,-1
670467,-1
673525,-1
688152,-1
699897,-1
702423,-1
710563,-1
720397,-1
720986,-1
721146,-1
741065,-1
741597,-1
754030,-1
769257,-1
777605,-1
790486,-1
791006,-1
798180,-1
799758,-1
854115,-1
860271,-1
866171,-1
867048,-1
877375,-1
887871,-1
897704,-1
903645,-1
913991,-1
915498,-1
939110,-1
939879,-1
944880,-1
953172,-1
956781,-1
964495,-1
967808,-1
969850,-1
987720,-1
991377,-1
1008960,-1
1010749,-1
1011593,-1
1019641,-1
1036472,-1
1042155,-1
1046891,-1
1054901,-1
1056144,-1
1061994,-1
1066048,-1
1080189,-1
1080556,-1
1090753,-1
1090886,-1
1108157,-1
1115314,-1
1130246,-1
1132706,-1
1143524,-1
1146725,-1
1158414,-1
1164230,-1
1164694,-1
1164969,-1
1175596,-1
1183936,-1
1202151,-1
1212241,-1
1222419,-1
1227305,-1
1227990,-1
1235365,-1
1236619,-1
1245981,-1
1248058,-1
1253639,-1
1258314,-1
1268690,-1
1269450,-1
1274626,-1
1276175,-1
1280638,-1
1284059,-1
1299383,-1
1304076,-1
1308634,-1
1310430,-1
1313444,-1
1325849,-1
1329085,-1
1331123,-1
1335601,-1
1338608,-1
1354430,-1
1365562,-1
1372045,-1
1373488,-1
1379141,-1
1381994,-1
1390456,-1
1395879,-1
1399727,-1
1402776,-1
1408337,-1
1417614,-1
1421557,-1
1421669,-1
1433763,-1
1459356,-1
1465362,-1
1483095,-1
1484453,-1
1492068,-1
1493477,-1
1502355,-1
1503406,-1
1503813,-1
1513691,-1
1523066,-1
1526252,-1
1529293,-1
1535324,-1
1535920,-1
1539126,-1
1551053,-1
1553827,-1
1572095,-1
1577510,-1
1577664,-1
1577896,-1
1584974,-1
1585385,-1
1592714,-1
1595308,-1
1608270,-1
1608903,-1
1609899,-1
1618557,-1
1619167,-1
1627136,-1
1628326,-1
1629191,-1
1634832,-1
1646113,-1
1647816,-1
1650221,-1
1661342,-1
1669588,-1
1670031,-1
1671667,-1
1679431,-1
1681817,-1
1682500,-1
1686584,-1
1690882,-1
1699154,-1
1709135,-1
1709490,-1
1712426,-1
1715210,-1
1722145,-1
1731348,-1
1746654,-1
1750493,-1
1751814,-1
1753274,-1
1757236,-1
1770716,-1
1777425,-1
1779293,-1
1787156,-1
1793381,-1
1800136,-1
1812895,-1
1815739,-1
1820620,-1
1840152,-1
1840464,-1
1845878,-1
1855334,-1
1865703,-1
1865836,-1
1874148,-1
1877547,-1
1881792,-1
1893266,-1
1895058,-1
1918757,-1
1923352,-1
1942933,-1
1976463,-1
1980440,-1
1980964,-1
1988977,-1
2002630,-1
2006104,-1
2008535,-1
2011230,-1
2011383,-1
2017127,-1
2020767,-1
2023891,-1
2027302,-1
2032387,-1
2033401,-1
2048761,-1
2069958,-1
2072118,-1
2080448,-1
2094147,-1
