animal,mean,std,lower,upper,ci_width,state_threshold,exceedance
H1,0.09073366129830156,0.0034012169438441316,0.0850601879843896,0.09619084263178147,0.011130654647391866,50,SpikerateCoact_output_1min_20minbuff_0p9
H2,1.0679765578961364,0.006748198415751471,1.0575392547614235,1.0792758846409818,0.021736629879558267,50,SpikerateCoact_output_1min_20minbuff_0p9
H3,0.060124158644176875,0.0028115053313915524,0.05537529162532514,0.06476093427368533,0.009385642648360192,50,SpikerateCoact_output_1min_20minbuff_0p9
H4,0.5323207139681129,0.006241391963476188,0.522337970314849,0.5421510089140148,0.019813038599165833,50,SpikerateCoact_output_1min_20minbuff_0p9
H5,0.22807823217851864,0.0040110452645756925,0.2216679690891725,0.23496136146565944,0.01329339237648694,50,SpikerateCoact_output_1min_20minbuff_0p9
H6,0.9065584637130181,0.010629021299421762,0.8897499634449477,0.923624311546522,0.0338743481015743,50,SpikerateCoact_output_1min_20minbuff_0p9
H7,0.8208588960908452,0.005159914482606462,0.8124748768967942,0.8298820470304492,0.017407170133655003,50,SpikerateCoact_output_1min_20minbuff_0p9
H8,0.37671376116009014,0.004997263734686105,0.36858120072319245,0.38517921380775755,0.0165980130845651,50,SpikerateCoact_output_1min_20minbuff_0p9
H9,0.5202884936075598,0.006384975678966064,0.5099444135630906,0.5305225125069484,0.02057809894385776,50,SpikerateCoact_output_1min_20minbuff_0p9
H10,0.5623226255487739,0.0065084738884585245,0.5514509048077951,0.5728718278188241,0.021420923011028936,50,SpikerateCoact_output_1min_20minbuff_0p9
H11,0.2524102936488453,0.004167536025113882,0.2456943721878975,0.258994902823481,0.01330053063558348,50,SpikerateCoact_output_1min_20minbuff_0p9
