animal,mean,std,lower,upper,ci_width,state_threshold,exceedance
pig1666,0.08875075578519212,0.0034791218003746246,0.08286154015280604,0.09426702577914584,0.011405485626339792,60,SpikestdCoact_output_1min_20minbuff_0p6
pig1670,1.216886155485557,0.006196847563732382,1.2069770848638202,1.227267406681265,0.020290321817444834,60,SpikestdCoact_output_1min_20minbuff_0p6
pig1690pvccmrtx,0.10342093266471802,0.0034495958448075826,0.0977447641522083,0.10914161593950282,0.01139685178729452,60,SpikestdCoact_output_1min_20minbuff_0p6
pig1692chronicPVCRTX,0.8843826886023419,0.006377911722880028,0.8733987592369096,0.8947998052044296,0.021401045967520016,60,SpikestdCoact_output_1min_20minbuff_0p6
pig1767pvc,0.2108675002170704,0.0040624544220716746,0.2042155075106364,0.2173309021446557,0.013115394634019284,60,SpikestdCoact_output_1min_20minbuff_0p6
pig1768,0.9937013208558754,0.01002153511682981,0.9779694887166737,1.0106375201052782,0.032668031388604524,60,SpikestdCoact_output_1min_20minbuff_0p6
pig1770,1.0507049542759521,0.004909029931095198,1.042417219374937,1.0586875690885338,0.016270349713596755,60,SpikestdCoact_output_1min_20minbuff_0p6
pig1774pvc,0.7261108833013363,0.006075864708934939,0.7161982069299733,0.7367150658887999,0.0205168589588266,60,SpikestdCoact_output_1min_20minbuff_0p6
pig1841pvc,0.7117755419677596,0.006589515266729873,0.7002723735408559,0.7224013340744858,0.022128960533629893,60,SpikestdCoact_output_1min_20minbuff_0p6
pig1843pvc,0.8102436020987257,0.006435819265832178,0.799330763465039,0.8206446086304742,0.02131384516543522,60,SpikestdCoact_output_1min_20minbuff_0p6
pig1844,0.3985952242332442,0.004934567661188552,0.39046823250567375,0.40673774219341013,0.016269509687736383,60,SpikestdCoact_output_1min_20minbuff_0p6
