time, rate
0,11000.0075,5.0
1,11000.0275,5.0
2,11000.0475,5.0
3,11000.0675,5.0
4,11000.0875,5.0
5,11000.1075,5.0
6,11000.1275,5.0
7,11000.1475,5.0
8,11000.1675,5.0
9,11000.1875,5.0
10,11000.2075,5.0
11,11000.2275,5.0
12,11000.2475,5.0
13,11000.2675,4.0
14,11000.2875,4.0
15,11000.3075,4.0
16,11000.3275,4.0
17,11000.3475,4.0
18,11000.3675,4.0
19,11000.3875,4.0
20,11000.4075,4.0
21,11000.4275,4.0
22,11000.4475,4.0
23,11000.4675,4.0
24,11000.4875,4.0
25,11000.5075,4.0
26,11000.5275,4.0
27,11000.5475,4.0
28,11000.5675,4.0
29,11000.5875,4.0
30,11000.6075,4.0
31,11000.6275,4.0
32,11000.6475,4.0
33,11000.6675,4.0
34,11000.6875,4.0
35,11000.7075,4.0
36,11000.7275,4.0
37,11000.7475,4.0
38,11000.7675,4.0
39,11000.7875,4.0
40,11000.8075,4.0
41,11000.8275,4.0
42,11000.8475,4.0
43,11000.8675,5.0
44,11000.8875,4.0
45,11000.9075,4.0
46,11000.9275,4.0
47,11000.9475,4.0
48,11000.9675,4.0
49,11000.9875,4.0
50,11001.0075,4.0
51,11001.0275,4.0
52,11001.0475,4.0
53,11001.0675,5.0
54,11001.0875,5.0
55,11001.1075,5.0
56,11001.1275,5.0
57,11001.1475,5.0
58,11001.1675,5.0
59,11001.1875,5.0
60,11001.2075,5.0
61,11001.2275,5.0
62,11001.2475,5.0
63,11001.2675,5.0
64,11001.2875,4.0
65,11001.3075,4.0
66,11001.3275,4.0
67,11001.3475,4.0
68,11001.3675,4.0
69,11001.3875,4.0
70,11001.4075,4.0
71,11001.4275,4.0
72,11001.4475,4.0
73,11001.4675,4.0
74,11001.4875,4.0
75,11001.5075,4.0
76,11001.5275,4.0
77,11001.5475,4.0
78,11001.5675,4.0
79,11001.5875,4.0
80,11001.6075,4.0
81,11001.6275,4.0
82,11001.6475,3.0
83,11001.6675,2.0
84,11001.6875,2.0
85,11001.7075,2.0
86,11001.7275,2.0
87,11001.7475,4.0
88,11001.7675,4.0
89,11001.7875,4.0
90,11001.8075,5.0
91,11001.8275,5.0
92,11001.8475,5.0
93,11001.8675,5.0
94,11001.8875,5.0
95,11001.9075,6.0
96,11001.9275,6.0
97,11001.9475,6.0
98,11001.9675,6.0
99,11001.9875,6.0
100,11002.0075,6.0
101,11002.0275,6.0
102,11002.0475,6.0
103,11002.0675,7.0
104,11002.0875,7.0
105,11002.1075,7.0
106,11002.1275,8.0
107,11002.1475,8.0
108,11002.1675,8.0
109,11002.1875,8.0
110,11002.2075,8.0
111,11002.2275,8.0
112,11002.2475,8.0
113,11002.2675,8.0
114,11002.2875,8.0
115,11002.3075,8.0
116,11002.3275,8.0
117,11002.3475,8.0
118,11002.3675,8.0
119,11002.3875,8.0
120,11002.4075,8.0
121,11002.4275,8.0
122,11002.4475,8.0
123,11002.4675,8.0
124,11002.4875,8.0
125,11002.5075,8.0
126,11002.5275,8.0
127,11002.5475,8.0
128,11002.5675,8.0
129,11002.5875,9.0
130,11002.6075,9.0
131,11002.6275,9.0
132,11002.6475,9.0
133,11002.6675,9.0
134,11002.6875,9.0
135,11002.7075,10.0
136,11002.7275,10.0
137,11002.7475,10.0
138,11002.7675,10.0
139,11002.7875,10.0
140,11002.8075,10.0
141,11002.8275,10.0
142,11002.8475,10.0
143,11002.8675,9.0
144,11002.8875,9.0
145,11002.9075,9.0
146,11002.9275,9.0
147,11002.9475,10.0
148,11002.9675,10.0
149,11002.9875,10.0
150,11003.0075,10.0
151,11003.0275,10.0
152,11003.0475,10.0
153,11003.0675,9.0
154,11003.0875,9.0
155,11003.1075,9.0
156,11003.1275,10.0
157,11003.1475,10.0
158,11003.1675,10.0
159,11003.1875,10.0
160,11003.2075,10.0
161,11003.2275,10.0
162,11003.2475,10.0
163,11003.2675,10.0
164,11003.2875,10.0
165,11003.3075,10.0
166,11003.3275,10.0
167,11003.3475,10.0
168,11003.3675,10.0
169,11003.3875,10.0
170,11003.4075,10.0
171,11003.4275,10.0
172,11003.4475,10.0
173,11003.4675,10.0
174,11003.4875,10.0
175,11003.5075,10.0
176,11003.5275,10.0
177,11003.5475,10.0
178,11003.5675,10.0
179,11003.5875,10.0
180,11003.6075,10.0
181,11003.6275,10.0
182,11003.6475,11.0
183,11003.6675,12.0
184,11003.6875,12.0
185,11003.7075,12.0
186,11003.7275,12.0
187,11003.7475,10.0
188,11003.7675,10.0
189,11003.7875,10.0
190,11003.8075,9.0
191,11003.8275,9.0
192,11003.8475,9.0
193,11003.8675,9.0
194,11003.8875,9.0
195,11003.9075,8.0
196,11003.9275,8.0
197,11003.9475,8.0
198,11003.9675,8.0
199,11003.9875,8.0
200,11004.0075,8.0
201,11004.0275,8.0
202,11004.0475,8.0
203,11004.0675,7.0
204,11004.0875,7.0
205,11004.1075,7.0
206,11004.1275,6.0
207,11004.1475,6.0
208,11004.1675,6.0
209,11004.1875,6.0
210,11004.2075,6.0
211,11004.2275,6.0
212,11004.2475,6.0
213,11004.2675,6.0
214,11004.2875,6.0
215,11004.3075,6.0
216,11004.3275,6.0
217,11004.3475,6.0
218,11004.3675,6.0
219,11004.3875,6.0
220,11004.4075,6.0
221,11004.4275,6.0
222,11004.4475,6.0
223,11004.4675,6.0
224,11004.4875,7.0
225,11004.5075,8.0
226,11004.5275,8.0
227,11004.5475,8.0
228,11004.5675,9.0
229,11004.5875,8.0
230,11004.6075,8.0
231,11004.6275,8.0
232,11004.6475,8.0
233,11004.6675,8.0
234,11004.6875,8.0
235,11004.7075,7.0
236,11004.7275,7.0
237,11004.7475,7.0
238,11004.7675,7.0
239,11004.7875,7.0
240,11004.8075,7.0
241,11004.8275,7.0
242,11004.8475,7.0
243,11004.8675,7.0
244,11004.8875,7.0
245,11004.9075,7.0
246,11004.9275,7.0
247,11004.9475,6.0
248,11004.9675,6.0
249,11004.9875,7.0
250,11005.0075,7.0
251,11005.0275,8.0
252,11005.0475,8.0
253,11005.0675,9.0
254,11005.0875,9.0
255,11005.1075,9.0
256,11005.1275,8.0
257,11005.1475,8.0
258,11005.1675,8.0
259,11005.1875,8.0
260,11005.2075,8.0
261,11005.2275,8.0
262,11005.2475,8.0
263,11005.2675,8.0
264,11005.2875,8.0
265,11005.3075,8.0
266,11005.3275,8.0
267,11005.3475,8.0
268,11005.3675,8.0
269,11005.3875,8.0
270,11005.4075,8.0
271,11005.4275,8.0
272,11005.4475,8.0
273,11005.4675,8.0
274,11005.4875,8.0
275,11005.5075,8.0
276,11005.5275,8.0
277,11005.5475,8.0
278,11005.5675,8.0
279,11005.5875,8.0
280,11005.6075,8.0
281,11005.6275,8.0
282,11005.6475,7.0
283,11005.6675,6.0
284,11005.6875,6.0
285,11005.7075,7.0
286,11005.7275,7.0
287,11005.7475,7.0
288,11005.7675,7.0
289,11005.7875,7.0
290,11005.8075,7.0
291,11005.8275,7.0
292,11005.8475,8.0
293,11005.8675,10.0
294,11005.8875,10.0
295,11005.9075,10.0
296,11005.9275,10.0
297,11005.9475,10.0
298,11005.9675,11.0
299,11005.9875,11.0
300,11006.0075,11.0
301,11006.0275,11.0
302,11006.0475,11.0
303,11006.0675,11.0
304,11006.0875,11.0
305,11006.1075,11.0
306,11006.1275,11.0
307,11006.1475,11.0
308,11006.1675,11.0
309,11006.1875,11.0
310,11006.2075,11.0
311,11006.2275,11.0
312,11006.2475,12.0
313,11006.2675,12.0
314,11006.2875,12.0
315,11006.3075,12.0
316,11006.3275,13.0
317,11006.3475,13.0
318,11006.3675,13.0
319,11006.3875,13.0
320,11006.4075,13.0
321,11006.4275,13.0
322,11006.4475,13.0
323,11006.4675,14.0
324,11006.4875,13.0
325,11006.5075,12.0
326,11006.5275,12.0
327,11006.5475,12.0
328,11006.5675,11.0
329,11006.5875,11.0
330,11006.6075,11.0
331,11006.6275,11.0
332,11006.6475,11.0
333,11006.6675,11.0
334,11006.6875,11.0
335,11006.7075,11.0
336,11006.7275,11.0
337,11006.7475,11.0
338,11006.7675,11.0
339,11006.7875,11.0
340,11006.8075,11.0
341,11006.8275,11.0
342,11006.8475,11.0
343,11006.8675,11.0
344,11006.8875,11.0
345,11006.9075,11.0
346,11006.9275,11.0
347,11006.9475,11.0
348,11006.9675,11.0
349,11006.9875,10.0
350,11007.0075,10.0
351,11007.0275,9.0
352,11007.0475,9.0
353,11007.0675,8.0
354,11007.0875,8.0
355,11007.1075,8.0
356,11007.1275,8.0
357,11007.1475,8.0
358,11007.1675,8.0
359,11007.1875,9.0
360,11007.2075,9.0
361,11007.2275,9.0
362,11007.2475,9.0
363,11007.2675,9.0
364,11007.2875,9.0
365,11007.3075,10.0
366,11007.3275,10.0
367,11007.3475,10.0
368,11007.3675,10.0
369,11007.3875,11.0
370,11007.4075,11.0
371,11007.4275,11.0
372,11007.4475,11.0
373,11007.4675,11.0
374,11007.4875,11.0
375,11007.5075,11.0
376,11007.5275,11.0
377,11007.5475,11.0
378,11007.5675,11.0
379,11007.5875,11.0
380,11007.6075,11.0
381,11007.6275,11.0
382,11007.6475,11.0
383,11007.6675,12.0
384,11007.6875,12.0
385,11007.7075,11.0
386,11007.7275,11.0
387,11007.7475,11.0
388,11007.7675,11.0
389,11007.7875,11.0
390,11007.8075,11.0
391,11007.8275,11.0
392,11007.8475,11.0
393,11007.8675,9.0
394,11007.8875,9.0
395,11007.9075,9.0
396,11007.9275,9.0
397,11007.9475,9.0
398,11007.9675,8.0
399,11007.9875,8.0
400,11008.0075,8.0
401,11008.0275,8.0
402,11008.0475,8.0
403,11008.0675,8.0
404,11008.0875,8.0
405,11008.1075,8.0
406,11008.1275,8.0
407,11008.1475,8.0
408,11008.1675,8.0
409,11008.1875,8.0
410,11008.2075,8.0
411,11008.2275,8.0
412,11008.2475,7.0
413,11008.2675,7.0
414,11008.2875,7.0
415,11008.3075,7.0
416,11008.3275,6.0
417,11008.3475,6.0
418,11008.3675,6.0
419,11008.3875,6.0
420,11008.4075,6.0
421,11008.4275,6.0
422,11008.4475,6.0
423,11008.4675,6.0
424,11008.4875,6.0
425,11008.5075,6.0
426,11008.5275,7.0
427,11008.5475,7.0
428,11008.5675,7.0
429,11008.5875,7.0
430,11008.6075,7.0
431,11008.6275,7.0
432,11008.6475,7.0
