animal,channel,entropy_mean,entropy_std,animal_type
pig1720,1,0.348950665,0.07771559,Normals
pig1720,10,0.353384441,0.064501033,Normals
pig1720,11,0.26149077,0.062202408,Normals
pig1720,12,0.398219975,0.065273228,Normals
pig1720,13,0.354927389,0.058372156,Normals
pig1720,15,0.376998273,0.08305708,Normals
pig1720,16,0.384366592,0.073146197,Normals
pig1720,2,0.365536043,0.05747132,Normals
pig1720,3,0.366283835,0.070646139,Normals
pig1720,4,0.329616404,0.07564029,Normals
pig1720,5,0.347934667,0.075304785,Normals
pig1720,7,0.381683088,0.082965771,Normals
pig1720,8,0.406423515,0.062574143,Normals
pig1720,9,0.345782003,0.089560529,Normals
pig1721,1,0.351364316,0.065217647,Normals
pig1721,10,0.29815166,0.056483201,Normals
pig1721,11,0.311375023,0.059606533,Normals
pig1721,12,0.31487191,0.0566185,Normals
pig1721,13,0.350965921,0.06063349,Normals
pig1721,14,0.314600894,0.063080175,Normals
pig1721,15,0.315915824,0.054299662,Normals
pig1721,2,0.333171167,0.058192914,Normals
pig1721,3,0.330401495,0.062415546,Normals
pig1721,7,0.322709967,0.058611043,Normals
pig1721,8,0.310722594,0.061131426,Normals
pig1721,9,0.304863666,0.056737838,Normals
pig1723,1,0.255952668,0.053809506,Normals
pig1723,10,0.314762563,0.055698145,Normals
pig1723,11,0.347368494,0.05125924,Normals
pig1723,12,0.291983813,0.058114996,Normals
pig1723,13,0.296395675,0.050559266,Normals
pig1723,14,0.340020105,0.066174114,Normals
pig1723,15,0.328841522,0.049051287,Normals
pig1723,16,0.324089141,0.060177967,Normals
pig1723,2,0.342209651,0.050478617,Normals
pig1723,3,0.32935696,0.043139621,Normals
pig1723,4,0.314743818,0.05253278,Normals
pig1723,5,0.326546023,0.047380454,Normals
pig1723,6,0.339472258,0.05230319,Normals
pig1723,7,0.313895363,0.057327433,Normals
pig1723,8,0.366583781,0.05624699,Normals
pig1723,9,0.277139775,0.052002277,Normals
pig1740,1,0.30252219,0.047689626,Normals
pig1740,10,0.27378291,0.049802511,Normals
pig1740,11,0.278944234,0.054068806,Normals
pig1740,13,0.305046581,0.076336536,Normals
pig1740,14,0.309914552,0.074502543,Normals
pig1740,15,0.331983228,0.062031132,Normals
pig1740,16,0.326285323,0.072559271,Normals
pig1740,2,0.281281788,0.047815905,Normals
pig1740,3,0.331580641,0.072157535,Normals
pig1740,4,0.336117011,0.083150298,Normals
pig1740,5,0.304098476,0.056703441,Normals
pig1740,6,0.270917334,0.079218531,Normals
pig1740,7,0.34308509,0.089148774,Normals
pig1740,8,0.282596742,0.076722548,Normals
pig1740,9,0.279111055,0.053573291,Normals
pig1741,1,0.251636814,0.05373364,Normals
pig1741,11,0.348314303,0.058424893,Normals
pig1741,12,0.298123821,0.063660484,Normals
pig1741,13,0.355593765,0.055891997,Normals
pig1741,15,0.299852628,0.050491159,Normals
pig1741,2,0.275163323,0.054429681,Normals
pig1741,3,0.308699418,0.06656967,Normals
pig1741,4,0.29765169,0.064909842,Normals
pig1741,5,0.279485294,0.066609136,Normals
pig1741,6,0.331389693,0.057788791,Normals
pig1741,7,0.309958674,0.059777696,Normals
pig1741,8,0.317806088,0.057677949,Normals
pig1741,9,0.364988307,0.06242838,Normals
pig1742,1,0.382224833,0.072519754,Normals
pig1742,10,0.353063409,0.072380942,Normals
pig1742,11,0.29971972,0.062066933,Normals
pig1742,12,0.362857663,0.071337778,Normals
pig1742,13,0.325519692,0.078268862,Normals
pig1742,14,0.352851514,0.076361155,Normals
pig1742,15,0.393485882,0.070217507,Normals
