Animal,Channel,Baseline_Entropy_Mean,Entropy_Mean,Baseline_Entropy_Std,Entropy_Std,Event_type,Coact_Type,Animal_Type
1,1,0.351364316,0.294495944,0.065217647,0.023321056,1,1,1
1,1,0.351364316,0.351581578,0.065217647,0.06523121,2,1,1
1,1,0.351364316,0.298830627,0.065217647,0.030516722,1,2,1
1,1,0.351364316,0.351565018,0.065217647,0.065233805,2,2,1
1,10,0.29815166,0.290355411,0.056483201,0,1,1,1
1,10,0.29815166,0.298154969,0.056483201,0.056494959,2,1,1
1,10,0.29815166,0.315607381,0.056483201,0.034360319,1,2,1
1,10,0.29815166,0.298092211,0.056483201,0.056534549,2,2,1
1,11,0.311375023,0.312461615,0.059606533,0.018010743,1,1,1
1,11,0.311375023,0.311373516,0.059606533,0.059644069,2,1,1
1,11,0.311375023,0.356039245,0.059606533,0.024359003,1,2,1
1,11,0.311375023,0.311157452,0.059606533,0.059645542,2,2,1
1,12,0.31487191,0.34464871,0.0566185,0.003663095,1,1,1
1,12,0.31487191,0.314825708,0.0566185,0.056650063,2,1,1
1,12,0.31487191,0.287903175,0.0566185,0.01781883,1,2,1
1,12,0.31487191,0.314976765,0.0566185,0.056692547,2,2,1
1,13,0.350965921,0.330712661,0.06063349,0.019492662,1,1,1
1,13,0.350965921,0.351029298,0.06063349,0.060707889,2,1,1
1,13,0.350965921,0.380706629,0.06063349,0.020142599,1,2,1
1,13,0.350965921,0.350926108,0.06063349,0.060659813,2,2,1
1,14,0.314600894,0.343640681,0.063080175,0.0355153,1,1,1
1,14,0.314600894,0.314517206,0.063080175,0.063122923,2,1,1
1,14,0.314600894,0.388216645,0.063080175,0.027392878,1,2,1
1,14,0.314600894,0.314327906,0.063080175,0.063015164,2,2,1
1,15,0.315915824,0.333871142,0.054299662,0.040217705,1,1,1
1,15,0.315915824,0.315862876,0.054299662,0.054327017,2,1,1
1,15,0.315915824,0.31318277,0.054299662,0.029358871,1,2,1
1,15,0.315915824,0.315927481,0.054299662,0.054381251,2,2,1
1,2,0.333171167,0.321204517,0.058192914,0.022179669,1,1,1
1,2,0.333171167,0.333207651,0.058192914,0.058264929,2,1,1
1,2,0.333171167,0.262208015,0.058192914,0.042480329,1,2,1
1,2,0.333171167,0.333387518,0.058192914,0.058101964,2,2,1
1,3,0.330401495,0.324582346,0.062415546,0.021293093,1,1,1
