Animal,Channel,Baseline_Entropy_Mean,Entropy_Mean,Baseline_Entropy_Std,Entropy_Std,Event_type,Coact_Type,,Animal_Type
pig1721,channel1,0.351364316,0.294495944,0.065217647,0.023321056,Event,Coact_Mean,,N
pig1721,channel1,0.351364316,0.351581578,0.065217647,0.06523121,Non Event,Coact_Mean,,N
pig1721,channel1,0.351364316,0.298830627,0.065217647,0.030516722,Event,Coact_STD,,N
pig1721,channel1,0.351364316,0.351565018,0.065217647,0.065233805,Non Event,Coact_STD,,N
pig1721,channel10,0.29815166,0.290355411,0.056483201,0,Event,Coact_Mean,,N
pig1721,channel10,0.29815166,0.298154969,0.056483201,0.056494959,Non Event,Coact_Mean,,N
pig1721,channel10,0.29815166,0.315607381,0.056483201,0.034360319,Event,Coact_STD,,N
pig1721,channel10,0.29815166,0.298092211,0.056483201,0.056534549,Non Event,Coact_STD,,N
pig1721,channel11,0.311375023,0.312461615,0.059606533,0.018010743,Event,Coact_Mean,,N
pig1721,channel11,0.311375023,0.311373516,0.059606533,0.059644069,Non Event,Coact_Mean,,N
pig1721,channel11,0.311375023,0.356039245,0.059606533,0.024359003,Event,Coact_STD,,N
pig1721,channel11,0.311375023,0.311157452,0.059606533,0.059645542,Non Event,Coact_STD,,N
pig1721,channel12,0.31487191,0.34464871,0.0566185,0.003663095,Event,Coact_Mean,,N
pig1721,channel12,0.31487191,0.314825708,0.0566185,0.056650063,Non Event,Coact_Mean,,N
pig1721,channel12,0.31487191,0.287903175,0.0566185,0.01781883,Event,Coact_STD,,N
pig1721,channel12,0.31487191,0.314976765,0.0566185,0.056692547,Non Event,Coact_STD,,N
pig1721,channel13,0.350965921,0.330712661,0.06063349,0.019492662,Event,Coact_Mean,,N
pig1721,channel13,0.350965921,0.351029298,0.06063349,0.060707889,Non Event,Coact_Mean,,N
pig1721,channel13,0.350965921,0.380706629,0.06063349,0.020142599,Event,Coact_STD,,N
pig1721,channel13,0.350965921,0.350926108,0.06063349,0.060659813,Non Event,Coact_STD,,N
pig1721,channel14,0.314600894,0.343640681,0.063080175,0.0355153,Event,Coact_Mean,,N
pig1721,channel14,0.314600894,0.314517206,0.063080175,0.063122923,Non Event,Coact_Mean,,N
pig1721,channel14,0.314600894,0.388216645,0.063080175,0.027392878,Event,Coact_STD,,N
pig1721,channel14,0.314600894,0.314327906,0.063080175,0.063015164,Non Event,Coact_STD,,N
pig1721,channel15,0.315915824,0.333871142,0.054299662,0.040217705,Event,Coact_Mean,,N
pig1721,channel15,0.315915824,0.315862876,0.054299662,0.054327017,Non Event,Coact_Mean,,N
pig1721,channel15,0.315915824,0.31318277,0.054299662,0.029358871,Event,Coact_STD,,N
pig1721,channel15,0.315915824,0.315927481,0.054299662,0.054381251,Non Event,Coact_STD,,N
pig1721,channel2,0.333171167,0.321204517,0.058192914,0.022179669,Event,Coact_Mean,,N
pig1721,channel2,0.333171167,0.333207651,0.058192914,0.058264929,Non Event,Coact_Mean,,N
pig1721,channel2,0.333171167,0.262208015,0.058192914,0.042480329,Event,Coact_STD,,N
pig1721,channel2,0.333171167,0.333387518,0.058192914,0.058101964,Non Event,Coact_STD,,N
pig1721,channel3,0.330401495,0.324582346,0.062415546,0.021293093,Event,Coact_Mean,,N
pig1721,channel3,0.330401495,0.330420112,0.062415546,0.062502837,Non Event,Coact_Mean,,N
pig1721,channel3,0.330401495,0.325052941,0.062415546,0.015284393,Event,Coact_STD,,N
pig1721,channel3,0.330401495,0.330418606,0.062415546,0.062508596,Non Event,Coact_STD,,N
pig1721,channel7,0.322709967,0.294039829,0.058611043,0.03941626,Event,Coact_Mean,,N
pig1721,channel7,0.322709967,0.322796388,0.058611043,0.058638222,Non Event,Coact_Mean,,N
pig1721,channel7,0.322709967,0.299683591,0.058611043,0.029678898,Event,Coact_STD,,N
pig1721,channel7,0.322709967,0.322796794,0.058611043,0.058676057,Non Event,Coact_STD,,N
pig1721,channel8,0.310722594,0.308183002,0.061131426,0.026989797,Event,Coact_Mean,,N
pig1721,channel8,0.310722594,0.310728862,0.061131426,0.061192003,Non Event,Coact_Mean,,N
pig1721,channel8,0.310722594,0.316525485,0.061131426,0.027560273,Event,Coact_STD,,N
pig1721,channel8,0.310722594,0.310706219,0.061131426,0.06119933,Non Event,Coact_STD,,N
pig1721,channel9,0.304863666,0.333436598,0.056737838,0.019703299,Event,Coact_Mean,,N
pig1721,channel9,0.304863666,0.304785341,0.056737838,0.056786429,Non Event,Coact_Mean,,N
pig1721,channel9,0.304863666,0.313971778,0.056737838,0.026551933,Event,Coact_STD,,N
pig1721,channel9,0.304863666,0.304813594,0.056737838,0.056855479,Non Event,Coact_STD,,N
pig1723,channel1,0.255952668,0.255256051,0.053809506,0.068139336,Event,Coact_Mean,,N
pig1723,channel1,0.255952668,0.255969009,0.053809506,0.053427132,Non Event,Coact_Mean,,N
pig1723,channel1,0.255952668,0.182850972,0.053809506,0.039991583,Event,Coact_STD,,N
pig1723,channel1,0.255952668,0.256389655,0.053809506,0.053582418,Non Event,Coact_STD,,N
pig1723,channel10,0.314762563,0.289348711,0.055698145,0.040416811,Event,Coact_Mean,,N
pig1723,channel10,0.314762563,0.315558623,0.055698145,0.055923395,Non Event,Coact_Mean,,N
pig1723,channel10,0.314762563,0.279469135,0.055698145,0.020044807,Event,Coact_STD,,N
pig1723,channel10,0.314762563,0.315027467,0.055698145,0.055795457,Non Event,Coact_STD,,N
pig1723,channel11,0.347368494,0.328369485,0.05125924,0.05295191,Event,Coact_Mean,,N
pig1723,channel11,0.347368494,0.347963033,0.05125924,0.051091493,Non Event,Coact_Mean,,N
pig1723,channel11,0.347368494,0.354367542,0.05125924,0.039859647,Event,Coact_STD,,N
pig1723,channel11,0.347368494,0.34729751,0.05125924,0.05135701,Non Event,Coact_STD,,N
pig1723,channel12,0.291983813,0.301442725,0.058114996,0.077996309,Event,Coact_Mean,,N
pig1723,channel12,0.291983813,0.291691595,0.058114996,0.057366397,Non Event,Coact_Mean,,N
pig1723,channel12,0.291983813,0.228832527,0.058114996,0.031965061,Event,Coact_STD,,N
pig1723,channel12,0.291983813,0.292309423,0.058114996,0.058041619,Non Event,Coact_STD,,N
pig1723,channel13,0.296395675,0.301775161,0.050559266,0.054699956,Event,Coact_Mean,,N
pig1723,channel13,0.296395675,0.296233622,0.050559266,0.050420351,Non Event,Coact_Mean,,N
pig1723,channel13,0.296395675,0.269656342,0.050559266,0.044027107,Event,Coact_STD,,N
pig1723,channel13,0.296395675,0.296598737,0.050559266,0.050551562,Non Event,Coact_STD,,N
pig1723,channel14,0.340020105,0.317520598,0.066174114,0.045929439,Event,Coact_Mean,,N
pig1723,channel14,0.340020105,0.340819378,0.066174114,0.066640926,Non Event,Coact_Mean,,N
pig1723,channel14,0.340020105,0.321905626,0.066174114,0.024629467,Event,Coact_STD,,N
pig1723,channel14,0.340020105,0.340161013,0.066174114,0.066376092,Non Event,Coact_STD,,N
pig1723,channel15,0.328841522,0.31985539,0.049051287,0.049394961,Event,Coact_Mean,,N
pig1723,channel15,0.328841522,0.329062986,0.049051287,0.049021993,Non Event,Coact_Mean,,N
pig1723,channel15,0.328841522,0.306659682,0.049051287,0.053284298,Event,Coact_STD,,N
pig1723,channel15,0.328841522,0.328969842,0.049051287,0.04899653,Non Event,Coact_STD,,N
pig1723,channel16,0.324089141,0.314921294,0.060177967,0.045614973,Event,Coact_Mean,,N
pig1723,channel16,0.324089141,0.324395842,0.060177967,0.060580715,Non Event,Coact_Mean,,N
pig1723,channel16,0.324089141,0.323722689,0.060177967,0.036051163,Event,Coact_STD,,N
pig1723,channel16,0.324089141,0.324091318,0.060177967,0.060292447,Non Event,Coact_STD,,N
pig1723,channel2,0.342209651,0.343581145,0.050478617,0.045787772,Event,Coact_Mean,,N
pig1723,channel2,0.342209651,0.342159117,0.050478617,0.050642449,Non Event,Coact_Mean,,N
pig1723,channel2,0.342209651,0.319164035,0.050478617,0.036596578,Event,Coact_STD,,N
pig1723,channel2,0.342209651,0.342348991,0.050478617,0.050518994,Non Event,Coact_STD,,N
pig1723,channel3,0.32935696,0.323272245,0.043139621,0.043679634,Event,Coact_Mean,,N
pig1723,channel3,0.32935696,0.329576681,0.043139621,0.043103929,Non Event,Coact_Mean,,N
pig1723,channel3,0.32935696,0.348624116,0.043139621,0.041187021,Event,Coact_STD,,N
pig1723,channel3,0.32935696,0.329177843,0.043139621,0.043116986,Non Event,Coact_STD,,N
pig1723,channel4,0.314743818,0.324522913,0.05253278,0.043402058,Event,Coact_Mean,,N
pig1723,channel4,0.314743818,0.314407874,0.05253278,0.052786237,Non Event,Coact_Mean,,N
pig1723,channel4,0.314743818,0.28734973,0.05253278,0.043197272,Event,Coact_STD,,N
pig1723,channel4,0.314743818,0.314965951,0.05253278,0.052543366,Non Event,Coact_STD,,N
pig1723,channel5,0.326546023,0.339146828,0.047380454,0.054006776,Event,Coact_Mean,,N
pig1723,channel5,0.326546023,0.326065615,0.047380454,0.047042637,Non Event,Coact_Mean,,N
